年月日,気圧,気温,風速(m/s),風向(°)
2023/8/17/21,1005.9,28.7,78.0,2.7,190.0
2023/8/18/9,1007.7,29.1,82.0,1.8,200.0
2023/8/18/21,1008.4,27.1,83.0,1.6,140.0
2023/8/19/9,1009.9,29.6,77.0,1.6,120.0
2023/8/19/21,1010.3,27.6,78.0,1.6,150.0
2023/8/20/9,1010.4,29.8,78.0,1.2,20.0
2023/8/20/21,1009.9,27.3,84.0,1.5,130.0
2023/8/21/9,1009.2,32.2,65.0,1.3,80.0
2023/8/21/21,1009.5,28.4,84.0,1.8,120.0
2023/8/22/9,1009.3,29.9,79.0,1.1,110.0
2023/8/22/21,1010.1,27.8,89.0,2.0,130.0
2023/8/23/9,1010.4,27.5,93.0,2.4,160.0
2023/8/23/21,1011.3,27.4,87.0,2.4,150.0
2023/8/24/9,1011.9,29.7,76.0,3.2,190.0
2023/8/24/21,1010.9,28.1,78.0,1.9,170.0
2023/8/25/9,1010.2,30.2,73.0,2.7,200.0
2023/8/25/21,1009.1,27.6,82.0,2.4,150.0
2023/8/26/9,1009.0,29.5,69.0,1.4,170.0
2023/8/26/21,1008.4,26.4,83.0,1.2,160.0
2023/8/27/9,1007.2,28.0,82.0,2.9,50.0
2023/8/27/21,1004.5,25.8,85.0,2.0,50.0
2023/8/28/9,1005.0,29.5,72.0,1.8,210.0
2023/8/28/21,1007.9,27.9,81.0,2.1,170.0
2023/8/29/9,1011.0,28.7,80.0,1.1,310.0
2023/8/29/21,1012.2,28.2,75.0,2.5,180.0
2023/8/30/9,1013.5,29.7,76.0,1.7,180.0
2023/8/30/21,1014.3,28.1,79.0,2.3,180.0
2023/8/31/9,1014.8,30.1,69.0,3.6,180.0
2023/8/31/21,1014.5,27.0,79.0,2.8,150.0
2023/9/1/9,1013.1,29.6,67.0,2.6,200.0
2023/9/1/21,1012.0,27.6,81.0,2.6,150.0
2023/9/2/9,1010.4,29.4,74.0,1.8,200.0
2023/9/2/21,1011.4,26.9,83.0,1.8,130.0
2023/9/3/9,1012.1,28.4,74.0,2.7,60.0
2023/9/3/21,1011.2,26.7,88.0,2.8,60.0
2023/9/4/9,1006.4,25.4,96.0,3.6,320.0
2023/9/4/21,1007.6,26.7,94.0,2.2,140.0
2023/9/5/9,1006.2,28.8,81.0,1.5,220.0
2023/9/5/21,1004.6,27.8,83.0,2.7,180.0
2023/9/6/9,1004.9,26.5,87.0,1.6,120.0
2023/9/6/21,1003.5,23.9,97.0,0.4,270.0
2023/9/7/9,1007.9,26.2,78.0,1.1,320.0
2023/9/7/21,1011.1,25.5,82.0,1.7,80.0
2023/9/8/9,1010.2,22.3,97.0,3.1,40.0
2023/9/8/21,1005.9,23.5,99.0,0.3,270.0
2023/9/9/9,1006.9,24.0,100.0,0.4,230.0
2023/9/9/21,1008.3,26.4,83.0,2.7,190.0
2023/9/10/9,1009.4,28.2,79.0,1.6,230.0
2023/9/10/21,1010.1,26.7,84.0,2.1,150.0
2023/9/11/9,1010.6,30.0,70.0,2.0,180.0
2023/9/11/21,1011.2,26.5,86.0,1.8,150.0
2023/9/12/9,1010.6,28.3,71.0,2.3,140.0
2023/9/12/21,1010.7,24.2,86.0,1.4,140.0
2023/9/13/9,1011.4,27.3,68.0,1.3,220.0
2023/9/13/21,1011.6,24.9,92.0,0.7,110.0
2023/9/14/9,1010.5,28.4,77.0,2.0,170.0
2023/9/14/21,1009.8,27.1,84.0,1.9,180.0
2023/9/15/9,1010.9,29.4,73.0,1.6,40.0
2023/9/15/21,1012.9,25.8,91.0,1.5,30.0
2023/9/16/9,1012.6,26.6,86.0,1.2,10.0
2023/9/16/21,1011.6,28.2,80.0,2.1,200.0
2023/9/17/9,1012.0,28.1,84.0,1.8,60.0
2023/9/17/21,1012.0,27.7,78.0,2.4,170.0
2023/9/18/9,1012.5,29.5,75.0,3.6,190.0
2023/9/18/21,1012.4,27.4,74.0,3.5,170.0
2023/9/19/9,1011.1,28.8,73.0,1.8,220.0
2023/9/19/21,1009.7,27.2,84.0,1.4,160.0
2023/9/20/9,1009.8,27.5,79.0,0.6,360.0
2023/9/20/21,1010.4,25.0,88.0,1.6,70.0
2023/9/21/9,1009.3,25.6,85.0,1.6,110.0
2023/9/21/21,1003.7,28.0,82.0,6.5,200.0
2023/9/22/9,1007.5,25.1,93.0,1.1,180.0
2023/9/22/21,1011.3,22.8,94.0,1.7,70.0
2023/9/23/9,1012.4,20.7,98.0,2.2,10.0
2023/9/23/21,1014.7,21.2,79.0,1.6,340.0
2023/9/24/9,1017.7,21.4,67.0,2.0,30.0
2023/9/24/21,1018.0,19.5,79.0,2.5,30.0
2023/9/25/9,1018.2,20.8,68.0,1.8,310.0
2023/9/25/21,1016.1,21.5,88.0,1.8,30.0
2023/9/26/9,1014.6,23.1,76.0,0.9,320.0
2023/9/26/21,1011.6,21.9,87.0,1.4,80.0
2023/9/27/9,1008.5,23.7,82.0,0.7,290.0
2023/9/27/21,1009.1,23.0,89.0,1.4,50.0
2023/9/28/9,1006.3,24.7,86.0,1.0,150.0
2023/9/28/21,1004.3,25.8,85.0,1.9,70.0
2023/9/29/9,1009.7,26.3,67.0,2.0,80.0
2023/9/29/21,1010.8,22.7,85.0,1.7,140.0
2023/9/30/9,1010.3,25.3,73.0,2.3,60.0
2023/9/30/21,1005.5,23.4,88.0,1.6,90.0
2023/9/31/9,1010.3,25.3,73.0,2.3,60.0
2023/9/31/21,1005.5,23.4,88.0,1.6,90.0
2023/10/1/9,1003.8,24.9,89.0,2.0,70.0
2023/10/1/21,1004.6,21.4,98.0,1.5,20.0
2023/10/2/9,1009.8,21.7,66.0,2.0,40.0
2023/10/2/21,1012.0,19.2,80.0,1.3,110.0
2023/10/3/9,1015.8,21.5,59.0,1.3,40.0
2023/10/3/21,1015.8,20.3,74.0,1.6,30.0
2023/10/4/9,1014.2,17.6,95.0,2.7,310.0
2023/10/4/21,1006.7,17.8,98.0,1.5,360.0
2023/10/5/9,998.8,18.0,98.0,1.4,200.0
2023/10/5/21,999.6,17.9,52.0,5.0,320.0
2023/10/6/9,1005.0,19.3,47.0,4.7,260.0
2023/10/6/21,1007.8,19.0,42.0,5.3,280.0
2023/10/7/9,1013.5,17.6,54.0,2.5,300.0
2023/10/7/21,1017.9,13.3,81.0,1.1,130.0
2023/10/8/9,1022.9,16.9,65.0,0.8,320.0
2023/10/8/21,1023.5,15.7,94.0,1.8,280.0
2023/10/9/9,1019.3,15.0,99.0,2.5,330.0
2023/10/9/21,1011.9,16.5,96.0,3.0,300.0
2023/10/10/9,1006.5,18.5,97.0,1.4,290.0
2023/10/10/21,1007.3,15.5,100.0,1.3,280.0
2023/10/11/9,1016.3,18.7,78.0,0.5,240.0
2023/10/11/21,1018.9,16.3,84.0,2.2,50.0
2023/10/12/9,1020.1,19.7,48.0,2.9,30.0
2023/10/12/21,1017.6,17.0,74.0,1.7,50.0
2023/10/13/9,1016.6,16.6,71.0,0.8,230.0
2023/10/13/21,1010.8,13.3,78.0,2.0,20.0
2023/10/14/9,1010.5,16.5,69.0,1.4,300.0
2023/10/14/21,1007.2,15.7,89.0,1.3,70.0
2023/10/15/9,1004.3,14.1,100.0,1.7,340.0
2023/10/15/21,1000.0,13.7,100.0,1.9,260.0
2023/10/16/9,1006.4,18.1,69.0,1.8,260.0
2023/10/16/21,1007.1,15.3,92.0,1.8,130.0
2023/10/17/9,1010.6,18.6,75.0,0.9,170.0
2023/10/17/21,1014.7,15.5,90.0,1.5,70.0
2023/10/18/9,1019.4,16.7,61.0,1.4,320.0
2023/10/18/21,1017.2,16.7,93.0,1.5,50.0
2023/10/19/9,1016.3,18.5,78.0,1.3,240.0
2023/10/19/21,1012.4,16.8,89.0,1.8,120.0
2023/10/20/9,1007.0,18.1,81.0,1.5,320.0
2023/10/20/21,999.2,20.7,73.0,2.1,290.0
2023/10/21/9,1005.3,17.7,57.0,2.3,40.0
2023/10/21/21,1010.6,14.2,69.0,2.0,30.0
2023/10/22/9,1018.8,13.8,64.0,0.7,150.0
2023/10/22/21,1018.6,10.9,83.0,1.7,160.0
2023/10/23/9,1020.5,13.5,72.0,1.5,320.0
2023/10/23/21,1019.5,12.5,93.0,1.3,60.0
2023/10/24/9,1019.9,16.1,80.0,1.5,280.0
2023/10/24/21,1015.8,16.8,93.0,2.3,50.0
2023/10/25/9,1013.9,17.2,82.0,1.5,300.0
2023/10/25/21,1011.2,16.2,89.0,1.8,310.0
2023/10/26/9,1011.3,18.2,57.0,3.4,330.0
2023/10/26/21,1010.1,13.5,93.0,0.9,70.0
2023/10/27/9,1009.0,16.2,77.0,0.5,180.0
2023/10/27/21,1006.6,14.6,87.0,1.9,50.0
2023/10/28/9,1007.2,15.3,82.0,2.8,290.0
2023/10/28/21,1007.8,14.5,94.0,1.5,40.0
2023/10/29/9,1011.0,11.8,95.0,2.1,320.0
2023/10/29/21,1013.3,10.4,99.0,1.2,240.0
2023/10/30/9,1017.5,15.9,71.0,2.1,70.0
2023/10/30/21,1019.8,15.5,74.0,2.0,50.0
2023/10/31/9,1021.3,17.2,75.0,1.1,320.0
2023/10/31/21,1018.9,15.0,96.0,1.2,90.0
2023/11/1/9,1019.0,15.7,90.0,1.0,310.0
2023/11/1/21,1015.4,14.9,98.0,0.8,140.0
2023/11/2/9,1015.3,12.3,100.0,0.8,300.0
2023/11/2/21,1016.5,13.1,95.0,1.4,110.0
2023/11/3/9,1016.9,16.1,87.0,0.8,300.0
2023/11/3/21,1016.3,15.0,99.0,0.9,80.0
2023/11/4/9,1018.3,16.1,99.0,0.8,280.0
2023/11/4/21,1020.6,18.4,90.0,2.4,50.0
2023/11/5/9,1024.7,20.3,73.0,3.1,40.0
2023/11/5/21,1023.7,17.3,89.0,1.7,50.0
2023/11/6/9,1019.9,19.5,96.0,1.1,150.0
2023/11/6/21,1012.9,21.3,90.0,2.8,160.0
2023/11/7/9,1003.9,23.3,88.0,7.1,200.0
2023/11/7/21,1009.6,16.9,85.0,1.9,60.0
2023/11/8/9,1018.1,15.3,67.0,1.7,100.0
2023/11/8/21,1021.6,11.4,95.0,1.4,50.0
2023/11/9/9,1024.0,16.8,75.0,1.2,20.0
2023/11/9/21,1021.8,12.8,97.0,1.5,60.0
2023/11/10/9,1017.6,13.9,91.0,0.3,250.0
2023/11/10/21,1008.3,14.2,100.0,1.4,250.0
2023/11/11/9,1015.2,11.7,86.0,0.6,100.0
2023/11/11/21,1019.8,10.6,61.0,2.4,60.0
2023/11/12/9,1017.2,8.5,87.0,1.4,310.0
2023/11/12/21,1009.7,8.9,84.0,0.6,230.0
2023/11/13/9,1010.8,9.0,67.0,0.8,320.0
2023/11/13/21,1013.0,9.5,45.0,3.6,280.0
2023/11/14/9,1018.4,10.5,51.0,2.0,310.0
2023/11/14/21,1019.8,10.7,66.0,2.5,50.0
2023/11/15/9,1021.9,11.4,78.0,2.2,350.0
2023/11/15/21,1022.5,7.6,96.0,1.8,300.0
2023/11/16/9,1024.4,9.3,84.0,1.8,300.0
2023/11/16/21,1020.4,11.0,91.0,0.8,30.0
2023/11/17/9,1007.5,10.4,100.0,1.1,260.0
2023/11/17/21,998.5,12.4,97.0,1.6,220.0
2023/11/18/9,999.1,8.9,88.0,1.7,300.0
2023/11/18/21,1000.7,6.4,63.0,2.5,260.0
2023/11/19/9,1007.1,13.1,45.0,3.2,240.0
2023/11/19/21,1006.6,8.2,93.0,1.1,150.0
2023/11/20/9,1005.5,13.5,62.0,2.4,250.0
2023/11/20/21,1015.7,6.1,70.0,1.6,210.0
2023/11/21/9,1021.8,6.7,72.0,0.6,230.0
2023/11/21/21,1018.3,6.9,93.0,0.4,330.0
2023/11/22/9,1017.8,9.2,76.0,1.4,290.0
2023/11/22/21,1014.9,10.2,97.0,0.7,280.0
2023/11/23/9,1012.0,11.2,88.0,1.3,250.0
2023/11/23/21,1006.1,10.8,100.0,0.7,90.0
2023/11/24/9,1003.4,12.7,99.0,1.3,340.0
2023/11/24/21,1007.7,11.9,60.0,1.4,300.0
2023/11/25/9,1019.9,9.4,40.0,1.1,300.0
2023/11/25/21,1024.0,7.8,52.0,1.2,70.0
2023/11/26/9,1023.4,6.0,79.0,1.2,290.0
2023/11/26/21,1018.3,7.3,98.0,1.7,300.0
2023/11/27/9,1015.7,8.9,81.0,2.3,340.0
2023/11/27/21,1009.6,7.6,97.0,1.3,60.0
2023/11/28/9,1003.2,9.3,89.0,0.9,280.0
2023/11/28/21,1007.9,12.0,45.0,3.8,320.0
2023/11/29/9,1013.1,9.8,47.0,1.4,240.0
2023/11/29/21,1010.3,8.1,63.0,1.2,310.0
2023/11/30/9,1009.1,9.6,63.0,2.1,270.0
2023/11/30/21,1012.9,4.9,65.0,0.3,120.0
2023/11/31/9,1009.1,9.6,63.0,2.1,270.0
2023/11/31/21,1012.9,4.9,65.0,0.3,120.0
2023/12/1/9,1014.1,6.3,59.0,0.5,250.0
2023/12/1/21,1011.3,3.6,77.0,1.5,20.0
2023/12/2/9,1015.6,4.3,82.0,0.9,310.0
2023/12/2/21,1017.7,5.5,76.0,1.5,60.0
2023/12/3/9,1016.5,4.0,77.0,1.1,280.0
2023/12/3/21,1015.4,8.1,56.0,3.1,290.0
2023/12/4/9,1019.0,7.3,64.0,0.4,180.0
2023/12/4/21,1018.9,3.1,79.0,0.7,10.0
2023/12/5/9,1019.4,3.6,81.0,1.9,320.0
2023/12/5/21,1012.6,7.1,77.0,1.7,320.0
2023/12/6/9,1009.2,9.8,95.0,0.9,340.0
2023/12/6/21,1008.6,7.6,100.0,1.7,130.0
2023/12/7/9,1002.2,8.7,97.0,1.6,280.0
2023/12/7/21,1008.9,9.8,47.0,2.4,280.0
2023/12/8/9,1017.1,9.0,54.0,1.5,170.0
2023/12/8/21,1018.2,7.9,80.0,1.5,130.0
2023/12/9/9,1018.3,6.8,80.0,2.2,300.0
2023/12/9/21,1016.5,6.5,90.0,1.4,100.0
2023/12/10/9,1019.2,8.0,84.0,1.0,280.0
2023/12/10/21,1018.7,9.2,94.0,1.6,100.0
2023/12/11/9,1021.7,10.4,86.0,0.8,320.0
2023/12/11/21,1018.4,12.3,78.0,3.1,40.0
2023/12/12/9,1006.4,9.9,100.0,1.5,290.0
2023/12/12/21,1008.9,12.2,75.0,2.5,40.0
2023/12/13/9,1020.9,8.5,70.0,0.9,50.0
2023/12/13/21,1024.3,5.5,69.0,1.1,260.0
2023/12/14/9,1025.9,4.9,83.0,1.1,280.0
2023/12/14/21,1023.2,9.3,80.0,1.1,10.0
2023/12/15/9,1016.3,6.8,93.0,1.3,280.0
2023/12/15/21,1003.9,9.6,86.0,1.3,280.0
2023/12/16/9,1004.2,12.6,97.0,0.8,60.0
2023/12/16/21,998.4,17.3,75.0,4.0,180.0
2023/12/17/9,1005.3,10.7,34.0,4.7,300.0
2023/12/17/21,1014.2,6.4,30.0,5.3,310.0
2023/12/18/9,1020.7,5.1,42.0,2.9,270.0
2023/12/18/21,1022.8,1.8,62.0,1.6,50.0
2023/12/19/9,1022.9,3.0,70.0,1.0,320.0
2023/12/19/21,1017.5,4.6,84.0,1.4,310.0
2023/12/20/9,1009.9,6.0,67.0,1.6,290.0
2023/12/20/21,1007.4,3.5,91.0,1.4,330.0
2023/12/21/9,1007.4,4.4,86.0,0.6,320.0
2023/12/21/21,1011.4,5.2,39.0,4.3,300.0
2023/12/22/9,1015.3,2.8,54.0,1.5,140.0
2023/12/22/21,1017.3,3.8,42.0,3.2,290.0
2023/12/23/9,1023.5,2.4,57.0,2.3,280.0
2023/12/23/21,1025.7,0.9,54.0,1.4,260.0
2023/12/24/9,1026.9,0.6,75.0,1.1,280.0
2023/12/24/21,1020.0,-0.5,88.0,1.5,280.0
2023/12/25/9,1019.9,1.7,79.0,2.4,310.0
2023/12/25/21,1017.6,1.8,75.0,1.6,310.0
2023/12/26/9,1021.8,3.6,68.0,1.7,260.0
2023/12/26/21,1017.1,2.5,90.0,0.8,290.0
2023/12/27/9,1022.6,4.0,79.0,1.2,190.0
2023/12/27/21,1024.8,3.1,64.0,1.1,40.0
2023/12/28/9,1025.1,2.6,69.0,1.3,300.0
2023/12/28/21,1019.5,4.3,81.0,1.6,300.0
2023/12/29/9,1018.4,1.8,79.0,0.9,330.0
2023/12/29/21,1018.9,4.1,91.0,1.3,50.0
2023/12/30/9,1019.7,3.8,83.0,1.3,310.0
2023/12/30/21,1015.5,7.4,95.0,1.0,160.0
2023/12/31/9,1007.0,5.7,99.0,1.0,100.0
2023/12/31/21,999.7,9.6,86.0,2.3,20.0
